Sample Id	NKX2-1: Putative copy-number alterations from GISTIC	OXA1L: mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2) (log2(value + 1))	Copy Number Alterations
TCGA-FJ-A3ZF-01	Shallow Deletion	1100.91	NKX2-1: Shallow Deletion
TCGA-FT-A61P-01	Shallow Deletion	1407.3	NKX2-1: Shallow Deletion
TCGA-G2-A2EF-01	Shallow Deletion	1246.94	NKX2-1: Shallow Deletion
TCGA-G2-A3IE-01	Shallow Deletion	1388.28	NKX2-1: Shallow Deletion
TCGA-G2-A3VY-01	Shallow Deletion	839.719	NKX2-1: Shallow Deletion
TCGA-G2-AA3B-01	Shallow Deletion	3126.31	NKX2-1: Shallow Deletion
TCGA-G2-AA3D-01	Shallow Deletion	1456.88	NKX2-1: Shallow Deletion
TCGA-GC-A3RB-01	Shallow Deletion	1103.33	NKX2-1: Shallow Deletion
TCGA-GC-A3RD-01	Shallow Deletion	1789.88	NKX2-1: Shallow Deletion
TCGA-GC-A6I3-01	Shallow Deletion	2121.12	NKX2-1: Shallow Deletion
TCGA-GD-A76B-01	Shallow Deletion	1388.6	NKX2-1: Shallow Deletion
TCGA-GU-A42Q-01	Shallow Deletion	1996.29	NKX2-1: Shallow Deletion
TCGA-GU-A766-01	Shallow Deletion	1194.82	NKX2-1: Shallow Deletion
TCGA-GU-AATP-01	Shallow Deletion	1294.29	NKX2-1: Shallow Deletion
TCGA-GV-A3JZ-01	Shallow Deletion	1334.79	NKX2-1: Shallow Deletion
TCGA-GV-A3QF-01	Shallow Deletion	1298.53	NKX2-1: Shallow Deletion
TCGA-GV-A40E-01	Shallow Deletion	1190.4	NKX2-1: Shallow Deletion
TCGA-GV-A40G-01	Shallow Deletion	1881.99	NKX2-1: Shallow Deletion
TCGA-GV-A6ZA-01	Shallow Deletion	2179.65	NKX2-1: Shallow Deletion
TCGA-H4-A2HQ-01	Shallow Deletion	1813.5	NKX2-1: Shallow Deletion
TCGA-HQ-A2OE-01	Shallow Deletion	1249.48	NKX2-1: Shallow Deletion
TCGA-HQ-A2OF-01	Shallow Deletion	2241.83	NKX2-1: Shallow Deletion
TCGA-K4-A3WU-01	Shallow Deletion	1651.4	NKX2-1: Shallow Deletion
TCGA-K4-A6MB-01	Shallow Deletion	1451.04	NKX2-1: Shallow Deletion
TCGA-KQ-A41P-01	Shallow Deletion	5483.37	NKX2-1: Shallow Deletion
TCGA-KQ-A41Q-01	Shallow Deletion	658.952	NKX2-1: Shallow Deletion
TCGA-KQ-A41R-01	Shallow Deletion	1824.36	NKX2-1: Shallow Deletion
TCGA-KQ-A41S-01	Shallow Deletion	1567.57	NKX2-1: Shallow Deletion
TCGA-PQ-A6FI-01	Shallow Deletion	1230.36	NKX2-1: Shallow Deletion
TCGA-R3-A69X-01	Shallow Deletion	1396.02	NKX2-1: Shallow Deletion
TCGA-SY-A9G0-01	Shallow Deletion	2029.06	NKX2-1: Shallow Deletion
TCGA-SY-A9G5-01	Shallow Deletion	1379.37	NKX2-1: Shallow Deletion
TCGA-UY-A78K-01	Shallow Deletion	4796.88	NKX2-1: Shallow Deletion
TCGA-UY-A78L-01	Shallow Deletion	1640.2	NKX2-1: Shallow Deletion
TCGA-UY-A78M-01	Shallow Deletion	2265.84	NKX2-1: Shallow Deletion
TCGA-UY-A8OB-01	Shallow Deletion	1718.18	NKX2-1: Shallow Deletion
TCGA-UY-A9PD-01	Shallow Deletion	1555.96	NKX2-1: Shallow Deletion
TCGA-UY-A9PF-01	Shallow Deletion	2466.36	NKX2-1: Shallow Deletion
TCGA-UY-A9PH-01	Shallow Deletion	1385.82	NKX2-1: Shallow Deletion
TCGA-XF-A8HH-01	Shallow Deletion	1752.86	NKX2-1: Shallow Deletion
TCGA-XF-A9SK-01	Shallow Deletion	2247.41	NKX2-1: Shallow Deletion
TCGA-XF-A9ST-01	Shallow Deletion	1594.42	NKX2-1: Shallow Deletion
TCGA-XF-A9SX-01	Shallow Deletion	1724.65	NKX2-1: Shallow Deletion
TCGA-XF-A9SZ-01	Shallow Deletion	1169.41	NKX2-1: Shallow Deletion
TCGA-XF-A9T0-01	Shallow Deletion	1029.76	NKX2-1: Shallow Deletion
TCGA-XF-AAMJ-01	Shallow Deletion	1815.35	NKX2-1: Shallow Deletion
TCGA-XF-AAML-01	Shallow Deletion	1278.89	NKX2-1: Shallow Deletion
TCGA-XF-AAMY-01	Shallow Deletion	1078.38	NKX2-1: Shallow Deletion
TCGA-XF-AAMZ-01	Shallow Deletion	2681.93	NKX2-1: Shallow Deletion
TCGA-XF-AAN0-01	Shallow Deletion	1303.88	NKX2-1: Shallow Deletion
TCGA-XF-AAN2-01	Shallow Deletion	1921.22	NKX2-1: Shallow Deletion
TCGA-XF-AAN3-01	Shallow Deletion	2027.56	NKX2-1: Shallow Deletion
TCGA-YF-AA3M-01	Shallow Deletion	2004.34	NKX2-1: Shallow Deletion
TCGA-ZF-A9R0-01	Shallow Deletion	1922.8	NKX2-1: Shallow Deletion
TCGA-ZF-A9R9-01	Shallow Deletion	2546.89	NKX2-1: Shallow Deletion
TCGA-ZF-A9RC-01	Shallow Deletion	1462.84	NKX2-1: Shallow Deletion
TCGA-ZF-A9RM-01	Shallow Deletion	1048.1	NKX2-1: Shallow Deletion
TCGA-ZF-A9RN-01	Shallow Deletion	1706.19	NKX2-1: Shallow Deletion
TCGA-ZF-AA4N-01	Shallow Deletion	1896.07	NKX2-1: Shallow Deletion
TCGA-ZF-AA51-01	Shallow Deletion	1510.17	NKX2-1: Shallow Deletion
TCGA-ZF-AA52-01	Shallow Deletion	1541.81	NKX2-1: Shallow Deletion
TCGA-3C-AAAU-01	Shallow Deletion	1380.7	NKX2-1: Shallow Deletion
TCGA-A1-A0SK-01	Shallow Deletion	1119.76	NKX2-1: Shallow Deletion
TCGA-A1-A0SP-01	Shallow Deletion	1113.83	NKX2-1: Shallow Deletion
TCGA-A2-A04P-01	Shallow Deletion	3389.52	NKX2-1: Shallow Deletion
TCGA-A2-A04T-01	Shallow Deletion	1227.85	NKX2-1: Shallow Deletion
TCGA-A2-A04U-01	Shallow Deletion	2093.78	NKX2-1: Shallow Deletion
TCGA-A2-A0CU-01	Shallow Deletion	1151.2	NKX2-1: Shallow Deletion
TCGA-A2-A0D0-01	Shallow Deletion	2191.1	NKX2-1: Shallow Deletion
TCGA-A2-A0EQ-01	Shallow Deletion	4761.04	NKX2-1: Shallow Deletion
TCGA-A2-A0ET-01	Shallow Deletion	1306.88	NKX2-1: Shallow Deletion
TCGA-A2-A0EU-01	Shallow Deletion	1114.52	NKX2-1: Shallow Deletion
TCGA-A2-A0EY-01	Shallow Deletion	2424.81	NKX2-1: Shallow Deletion
TCGA-A2-A0SV-01	Shallow Deletion	1340.44	NKX2-1: Shallow Deletion
TCGA-A2-A0SX-01	Shallow Deletion	1772.32	NKX2-1: Shallow Deletion
TCGA-A2-A0YE-01	Shallow Deletion	812.104	NKX2-1: Shallow Deletion
TCGA-A2-A0YJ-01	Shallow Deletion	979.658	NKX2-1: Shallow Deletion
TCGA-A2-A0YM-01	Shallow Deletion	894.685	NKX2-1: Shallow Deletion
TCGA-A2-A0YT-01	Shallow Deletion	1291.08	NKX2-1: Shallow Deletion
TCGA-A2-A1G1-01	Shallow Deletion	1513.02	NKX2-1: Shallow Deletion
TCGA-A2-A3XS-01	Shallow Deletion	1807.62	NKX2-1: Shallow Deletion
TCGA-A2-A3XT-01	Shallow Deletion	2068.09	NKX2-1: Shallow Deletion
TCGA-A2-A3XU-01	Shallow Deletion	1181.15	NKX2-1: Shallow Deletion
TCGA-A2-A3XX-01	Shallow Deletion	1307.51	NKX2-1: Shallow Deletion
TCGA-A2-A3Y0-01	Shallow Deletion	1789.2	NKX2-1: Shallow Deletion
TCGA-A2-A4S1-01	Shallow Deletion	1677.87	NKX2-1: Shallow Deletion
TCGA-A7-A0CE-01	Shallow Deletion	1403.85	NKX2-1: Shallow Deletion
TCGA-A7-A13D-01	Shallow Deletion	1376.66	NKX2-1: Shallow Deletion
TCGA-A7-A13E-01	Shallow Deletion	1113.7	NKX2-1: Shallow Deletion
TCGA-A7-A13F-01	Shallow Deletion	1591.16	NKX2-1: Shallow Deletion
TCGA-A7-A26E-01	Shallow Deletion	1537.3	NKX2-1: Shallow Deletion
TCGA-A7-A26G-01	Shallow Deletion	1313.12	NKX2-1: Shallow Deletion
TCGA-A7-A26I-01	Shallow Deletion	1298.2	NKX2-1: Shallow Deletion
TCGA-A7-A2KD-01	Shallow Deletion	1158.6	NKX2-1: Shallow Deletion
TCGA-A7-A3J1-01	Shallow Deletion	1386.66	NKX2-1: Shallow Deletion
TCGA-A7-A4SB-01	Shallow Deletion	995.933	NKX2-1: Shallow Deletion
TCGA-A7-A4SD-01	Shallow Deletion	1514.93	NKX2-1: Shallow Deletion
TCGA-A7-A4SE-01	Shallow Deletion	1297.49	NKX2-1: Shallow Deletion
TCGA-A7-A5ZV-01	Shallow Deletion	1593.16	NKX2-1: Shallow Deletion
TCGA-A7-A6VV-01	Shallow Deletion	1450.84	NKX2-1: Shallow Deletion
TCGA-A7-A6VW-01	Shallow Deletion	2398.78	NKX2-1: Shallow Deletion
TCGA-A7-A6VY-01	Shallow Deletion	1271.88	NKX2-1: Shallow Deletion
TCGA-A8-A06Q-01	Shallow Deletion	1687.52	NKX2-1: Shallow Deletion
TCGA-A8-A06X-01	Shallow Deletion	1932.44	NKX2-1: Shallow Deletion
TCGA-A8-A06Z-01	Shallow Deletion	2306.12	NKX2-1: Shallow Deletion
TCGA-A8-A07F-01	Shallow Deletion	1263.67	NKX2-1: Shallow Deletion
TCGA-A8-A07L-01	Shallow Deletion	1190.88	NKX2-1: Shallow Deletion
TCGA-A8-A07O-01	Shallow Deletion	1094.8	NKX2-1: Shallow Deletion
TCGA-A8-A081-01	Shallow Deletion	1743.3	NKX2-1: Shallow Deletion
TCGA-A8-A090-01	Shallow Deletion	1161.25	NKX2-1: Shallow Deletion
TCGA-A8-A09I-01	Shallow Deletion	4101.92	NKX2-1: Shallow Deletion
TCGA-A8-A09N-01	Shallow Deletion	1166.92	NKX2-1: Shallow Deletion
TCGA-A8-A0A6-01	Shallow Deletion	1768.32	NKX2-1: Shallow Deletion
TCGA-A8-A0AB-01	Shallow Deletion	911.219	NKX2-1: Shallow Deletion
TCGA-AC-A23C-01	Shallow Deletion	1702.51	NKX2-1: Shallow Deletion
TCGA-AC-A2BK-01	Shallow Deletion	1015.99	NKX2-1: Shallow Deletion
TCGA-AC-A2BM-01	Shallow Deletion	877.695	NKX2-1: Shallow Deletion
TCGA-AC-A2QH-01	Shallow Deletion	1172.3	NKX2-1: Shallow Deletion
TCGA-AC-A2QJ-01	Shallow Deletion	3106.28	NKX2-1: Shallow Deletion
TCGA-AC-A3EH-01	Shallow Deletion	1488.94	NKX2-1: Shallow Deletion
TCGA-AC-A62X-01	Shallow Deletion	9221.61	NKX2-1: Shallow Deletion
TCGA-AC-A6IW-01	Shallow Deletion	2878.96	NKX2-1: Shallow Deletion
TCGA-AC-A7VC-01	Shallow Deletion	2571.84	NKX2-1: Shallow Deletion
TCGA-AC-A8OQ-01	Shallow Deletion	1850.51	NKX2-1: Shallow Deletion
TCGA-AN-A04C-01	Shallow Deletion	3845.36	NKX2-1: Shallow Deletion
TCGA-AN-A0AK-01	Shallow Deletion	1702.35	NKX2-1: Shallow Deletion
TCGA-AN-A0FJ-01	Shallow Deletion	1278.51	NKX2-1: Shallow Deletion
TCGA-AN-A0FX-01	Shallow Deletion	1270.18	NKX2-1: Shallow Deletion
TCGA-AN-A0XU-01	Shallow Deletion	1587.18	NKX2-1: Shallow Deletion
TCGA-AO-A0J4-01	Shallow Deletion	1727.36	NKX2-1: Shallow Deletion
TCGA-AO-A0J6-01	Shallow Deletion	1361.59	NKX2-1: Shallow Deletion
TCGA-AO-A0JL-01	Shallow Deletion	1569.88	NKX2-1: Shallow Deletion
TCGA-AO-A124-01	Shallow Deletion	2101.21	NKX2-1: Shallow Deletion
TCGA-AO-A129-01	Shallow Deletion	2761.78	NKX2-1: Shallow Deletion
TCGA-AO-A12F-01	Shallow Deletion	2192.77	NKX2-1: Shallow Deletion
TCGA-AO-A1KR-01	Shallow Deletion	2581.94	NKX2-1: Shallow Deletion
TCGA-AQ-A0Y5-01	Shallow Deletion	1553.61	NKX2-1: Shallow Deletion
TCGA-AQ-A54N-01	Shallow Deletion	2466.36	NKX2-1: Shallow Deletion
TCGA-AQ-A54O-01	Shallow Deletion	2308.37	NKX2-1: Shallow Deletion
TCGA-AR-A0TP-01	Shallow Deletion	2190.44	NKX2-1: Shallow Deletion
TCGA-AR-A0TT-01	Shallow Deletion	2121.53	NKX2-1: Shallow Deletion
TCGA-AR-A0U0-01	Shallow Deletion	1868.88	NKX2-1: Shallow Deletion
TCGA-AR-A1AH-01	Shallow Deletion	1777.5	NKX2-1: Shallow Deletion
TCGA-AR-A1AI-01	Shallow Deletion	1319.95	NKX2-1: Shallow Deletion
TCGA-AR-A1AJ-01	Shallow Deletion	1452.69	NKX2-1: Shallow Deletion
TCGA-AR-A1AM-01	Shallow Deletion	2080.29	NKX2-1: Shallow Deletion
TCGA-AR-A1AQ-01	Shallow Deletion	1780.48	NKX2-1: Shallow Deletion
TCGA-AR-A1AR-01	Shallow Deletion	1736.04	NKX2-1: Shallow Deletion
TCGA-AR-A1AX-01	Shallow Deletion	1250.66	NKX2-1: Shallow Deletion
TCGA-AR-A1AY-01	Shallow Deletion	1067.33	NKX2-1: Shallow Deletion
TCGA-AR-A24H-01	Shallow Deletion	1776.95	NKX2-1: Shallow Deletion
TCGA-AR-A24Q-01	Shallow Deletion	1161.86	NKX2-1: Shallow Deletion
TCGA-AR-A24V-01	Shallow Deletion	1426.22	NKX2-1: Shallow Deletion
TCGA-AR-A251-01	Shallow Deletion	1230.38	NKX2-1: Shallow Deletion
TCGA-AR-A255-01	Shallow Deletion	1747.05	NKX2-1: Shallow Deletion
TCGA-AR-A256-01	Shallow Deletion	2070.86	NKX2-1: Shallow Deletion
TCGA-B6-A0I1-01	Shallow Deletion	1304.24	NKX2-1: Shallow Deletion
TCGA-B6-A0IH-01	Shallow Deletion	1469.13	NKX2-1: Shallow Deletion
TCGA-B6-A0IJ-01	Shallow Deletion	1619.23	NKX2-1: Shallow Deletion
TCGA-B6-A0IO-01	Shallow Deletion	2043.59	NKX2-1: Shallow Deletion
TCGA-B6-A0IQ-01	Shallow Deletion	1910.95	NKX2-1: Shallow Deletion
TCGA-B6-A0RE-01	Shallow Deletion	1607.02	NKX2-1: Shallow Deletion
TCGA-B6-A0RL-01	Shallow Deletion	1684.92	NKX2-1: Shallow Deletion
TCGA-B6-A0WS-01	Shallow Deletion	1290.51	NKX2-1: Shallow Deletion
TCGA-B6-A0WX-01	Shallow Deletion	1561.29	NKX2-1: Shallow Deletion
TCGA-B6-A1KC-01	Shallow Deletion	1154.42	NKX2-1: Shallow Deletion
TCGA-B6-A1KF-01	Shallow Deletion	1412.57	NKX2-1: Shallow Deletion
TCGA-B6-A1KI-01	Shallow Deletion	1841.26	NKX2-1: Shallow Deletion
TCGA-B6-A3ZX-01	Shallow Deletion	1723.34	NKX2-1: Shallow Deletion
TCGA-B6-A409-01	Shallow Deletion	1698.89	NKX2-1: Shallow Deletion
TCGA-BH-A0AU-01	Shallow Deletion	1599.28	NKX2-1: Shallow Deletion
TCGA-BH-A0AW-01	Shallow Deletion	2399.55	NKX2-1: Shallow Deletion
TCGA-BH-A0B3-01	Shallow Deletion	1452.73	NKX2-1: Shallow Deletion
TCGA-BH-A0B5-01	Shallow Deletion	1596.4	NKX2-1: Shallow Deletion
TCGA-BH-A0B7-01	Shallow Deletion	1632.59	NKX2-1: Shallow Deletion
TCGA-BH-A0B9-01	Shallow Deletion	1667.49	NKX2-1: Shallow Deletion
TCGA-BH-A0BF-01	Shallow Deletion	1623.42	NKX2-1: Shallow Deletion
TCGA-BH-A0BG-01	Shallow Deletion	1481.8	NKX2-1: Shallow Deletion
TCGA-BH-A0BJ-01	Shallow Deletion	1533.94	NKX2-1: Shallow Deletion
TCGA-BH-A0BP-01	Shallow Deletion	1419.76	NKX2-1: Shallow Deletion
TCGA-BH-A0BW-01	Shallow Deletion	719.971	NKX2-1: Shallow Deletion
TCGA-BH-A0BZ-01	Shallow Deletion	1944.9	NKX2-1: Shallow Deletion
TCGA-BH-A0C1-01	Shallow Deletion	1583.71	NKX2-1: Shallow Deletion
TCGA-BH-A0E0-01	Shallow Deletion	2127.36	NKX2-1: Shallow Deletion
TCGA-BH-A0E6-01	Shallow Deletion	2066.36	NKX2-1: Shallow Deletion
TCGA-BH-A0H7-01	Shallow Deletion	2556.8	NKX2-1: Shallow Deletion
TCGA-BH-A0RX-01	Shallow Deletion	2269.26	NKX2-1: Shallow Deletion
TCGA-BH-A0WA-01	Shallow Deletion	1011.87	NKX2-1: Shallow Deletion
TCGA-BH-A18F-01	Shallow Deletion	1557.47	NKX2-1: Shallow Deletion
TCGA-BH-A18Q-01	Shallow Deletion	1204.7	NKX2-1: Shallow Deletion
TCGA-BH-A18T-01	Shallow Deletion	1304.3	NKX2-1: Shallow Deletion
TCGA-BH-A18U-01	Shallow Deletion	2202.6	NKX2-1: Shallow Deletion
TCGA-BH-A18V-01	Shallow Deletion	955.506	NKX2-1: Shallow Deletion
TCGA-BH-A1EW-01	Shallow Deletion	1275.7	NKX2-1: Shallow Deletion
TCGA-BH-A1EY-01	Shallow Deletion	1834.35	NKX2-1: Shallow Deletion
TCGA-BH-A1F6-01	Shallow Deletion	1638.85	NKX2-1: Shallow Deletion
TCGA-BH-A1F8-01	Shallow Deletion	1792.53	NKX2-1: Shallow Deletion
TCGA-BH-A1FC-01	Shallow Deletion	2021.92	NKX2-1: Shallow Deletion
TCGA-BH-A202-01	Shallow Deletion	1132.5	NKX2-1: Shallow Deletion
TCGA-BH-A42T-01	Shallow Deletion	1526.89	NKX2-1: Shallow Deletion
TCGA-BH-A5IZ-01	Shallow Deletion	959.203	NKX2-1: Shallow Deletion
TCGA-C8-A12K-01	Shallow Deletion	3043.18	NKX2-1: Shallow Deletion
TCGA-C8-A12M-01	Shallow Deletion	3282.95	NKX2-1: Shallow Deletion
TCGA-C8-A12X-01	Shallow Deletion	1025.9	NKX2-1: Shallow Deletion
TCGA-C8-A134-01	Shallow Deletion	1254.13	NKX2-1: Shallow Deletion
TCGA-C8-A137-01	Shallow Deletion	1628.78	NKX2-1: Shallow Deletion
TCGA-C8-A1HF-01	Shallow Deletion	2626.97	NKX2-1: Shallow Deletion
TCGA-C8-A1HG-01	Shallow Deletion	2442.08	NKX2-1: Shallow Deletion
TCGA-C8-A1HJ-01	Shallow Deletion	1757.35	NKX2-1: Shallow Deletion
TCGA-C8-A1HK-01	Shallow Deletion	2066.02	NKX2-1: Shallow Deletion
TCGA-C8-A1HM-01	Shallow Deletion	2384	NKX2-1: Shallow Deletion
TCGA-C8-A26Y-01	Shallow Deletion	1648.46	NKX2-1: Shallow Deletion
TCGA-C8-A27B-01	Shallow Deletion	3003.92	NKX2-1: Shallow Deletion
TCGA-C8-A8HP-01	Shallow Deletion	1398.75	NKX2-1: Shallow Deletion
TCGA-D8-A142-01	Shallow Deletion	1320.58	NKX2-1: Shallow Deletion
TCGA-D8-A1JC-01	Shallow Deletion	1461.17	NKX2-1: Shallow Deletion
TCGA-D8-A1JG-01	Shallow Deletion	1540.13	NKX2-1: Shallow Deletion
TCGA-D8-A1JJ-01	Shallow Deletion	1421.87	NKX2-1: Shallow Deletion
TCGA-D8-A1JM-01	Shallow Deletion	1398.2	NKX2-1: Shallow Deletion
